,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
0,7.539051533,-4.033939526,3.103206525,-0.701959064,0,-1.049961513,-3.246356454,-1.146447272,-0.721225679,-1.11721575,-0.359572207,0.722578529,-0.204612175,1.674410495,-1.52968177,-1.137925255,1.69417683,-0.920218927,-1.284779592,-1.692852591,0.232829395,0.207903208,0.557139916
1,6.134001645,-2.623391549,2.697800362,0.045341433,0,-1.013907434,0.403023142,-1.75210811,0.310654339,-0.600232152,0.215942352,0.558891258,-0.206881918,2.11814935,-1.972855866,-1.230319471,0.297754844,-0.594628466,-0.226184149,-1.467465978,-0.262779357,-0.510358719,0.131123149
2,6.575255114,-4.983496698,3.281085411,-0.667648311,0,-0.422748982,-1.706750136,-0.911116255,1.09557326,-0.803374158,-1.681965889,0.402464417,-0.622680407,2.826040303,-1.19355853,-2.462901485,0.313055827,-1.965862868,-0.706564156,-0.400171358,0.239181547,0.239622902,0.68618459
3,7.224400548,-4.898131051,3.982100123,0.092588972,0,-0.696283301,-0.869266964,-1.199268872,1.239334864,-0.761240202,-1.359333076,0.366574894,-0.423550485,2.710211453,-2.290861377,-2.019323821,0.274207364,-2.051961673,-0.700003397,-0.084616504,-0.208505338,0.33095591,0.812404753
4,7.523356535,-5.618420234,3.73136158,-1.180883862,0,-0.668273999,-2.753975319,-0.555460898,1.702108923,-0.930571862,-3.025712226,0.15165622,-0.361613305,0.821984049,-1.591168665,-1.549948716,0.670798285,-2.58036577,-1.461851131,-0.362487867,0.408011142,0.489447494,0.589810351
5,5.533135545,-5.893721065,3.396108286,-0.501701497,0,-0.27134078,-2.918855177,-1.578105188,2.355779461,-0.732440198,-1.502402596,0.234122483,-0.434969462,2.392747384,-1.034476144,-1.725310064,1.698930192,-2.202778874,-1.673639232,0.838666978,0.839280663,0.918448001,1.104232964
6,9.133086469,-5.437210776,4.290407008,0.404024251,0,-0.367555965,1.702166398,-0.335336353,2.131991399,-0.237935549,-2.587969173,-1.769870094,0.3047757,1.230452988,-3.762997552,0.599851428,0.977264149,1.365565212,-0.790236243,1.502596797,-0.430814908,0.002978663,1.324088058
7,4.788870226,-6.354676961,3.930656916,-0.623141005,0,-0.609975171,-4.244769795,-1.907545753,2.986532276,-1.129966942,-1.755009909,0.752318171,-0.76881829,2.069075144,-0.141304714,-1.340380077,1.865394905,-1.514119193,-1.851813662,0.799568508,2.514771163,0.400046267,0.946381897
8,2.312795968,-1.755332578,0.133436896,-0.90902934,0,-0.258951517,-0.685619865,-1.847359913,-0.110536007,-1.015361552,-0.092409471,-0.090203502,0.189501513,-0.244635334,0.11154109,0.506337584,1.249820204,-0.898682209,-0.81595867,-0.759801068,-0.027694322,0.212120783,0.817678283
9,6.814313944,-5.335215154,3.601987344,0.315326795,0,-0.494804971,0.280455139,-1.298627851,1.879450761,-0.643721074,-1.931947461,-1.186274285,0.327225685,0.430928979,-2.791525748,0.536943726,1.92281218,1.096611981,-1.52549238,-0.312950991,0.310303714,-0.780861304,0.825894127
